Date	Price	Open	High	Low	Vol.	Change %
Jul 24, 2023	366.00	360.00	366.00	352.50	28.79M	+9.91%
Jul 21, 2023	333.00	314.50	333.00	312.00	15.61M	+9.90%
Jul 20, 2023	303.00	300.00	304.50	297.00	1.97M	+1.68%
Jul 19, 2023	298.00	311.50	311.50	295.50	2.64M	-2.77%
Jul 18, 2023	306.50	300.00	316.00	300.00	6.12M	+2.34%
Jul 17, 2023	299.50	297.50	299.50	296.00	1.35M	+0.50%
Jul 14, 2023	298.00	297.50	298.00	293.50	1.41M	+0.85%
Jul 13, 2023	295.50	297.50	300.00	293.50	1.95M	-0.34%
Jul 12, 2023	296.50	293.50	296.50	291.50	2.29M	+0.17%
Jul 11, 2023	296.00	297.50	299.00	292.50	2.43M	+1.37%
Jul 10, 2023	292.00	293.00	295.00	291.00	1.45M	-0.34%
Jul 07, 2023	293.00	300.00	300.00	291.00	2.20M	-2.33%
Jul 06, 2023	300.00	298.00	302.50	295.50	2.99M	+1.18%
Jul 05, 2023	296.50	294.00	298.00	292.00	1.72M	+1.02%
Jul 04, 2023	293.50	298.50	302.50	293.00	6.94M	-6.08%
Jul 03, 2023	312.50	319.00	319.00	312.00	3.64M	-0.64%
Jun 30, 2023	314.50	311.00	317.00	311.00	2.88M	+0.16%
Jun 29, 2023	314.00	308.00	317.00	308.00	3.76M	-0.63%
Jun 28, 2023	316.00	316.00	319.00	314.00	1.59M	+0.16%
Jun 27, 2023	315.50	319.50	320.00	315.50	1.58M	-1.71%
Jun 26, 2023	321.00	317.00	324.00	313.50	4.78M	+2.07%
Jun 21, 2023	314.50	311.00	317.50	310.00	3.01M	+1.45%
Jun 20, 2023	310.00	312.00	314.00	308.00	4.01M	-0.32%
Jun 19, 2023	311.00	314.50	316.00	310.00	3.54M	-1.74%
Jun 16, 2023	316.50	318.00	319.50	313.50	4.52M	-0.94%
Jun 15, 2023	319.50	318.00	322.50	315.00	2.17M	+0.63%
Jun 14, 2023	317.50	320.00	321.00	316.00	1.85M	-0.78%
Jun 13, 2023	320.00	328.00	328.00	319.00	2.25M	-1.39%
Jun 12, 2023	324.50	316.00	325.00	316.00	3.70M	+3.02%
Jun 09, 2023	315.00	316.50	316.50	314.00	1.45M	+0.32%
Jun 08, 2023	314.00	313.00	316.50	312.00	1.72M	-0.16%
Jun 07, 2023	314.50	313.00	316.00	313.00	1.26M	+0.48%
Jun 06, 2023	313.00	312.50	315.00	311.00	1.83M	-0.16%
Jun 05, 2023	313.50	315.00	315.50	312.50	2.34M	-0.48%
Jun 02, 2023	315.00	306.00	316.00	305.50	4.40M	+2.94%
Jun 01, 2023	306.00	304.00	307.00	301.50	1.16M	+0.33%
May 31, 2023	305.00	304.00	307.00	303.00	5.48M	+0.33%
May 30, 2023	304.00	307.50	307.50	303.50	2.27M	+0.16%
May 29, 2023	303.50	309.50	312.00	303.50	1.98M	-1.62%
May 26, 2023	308.50	304.50	309.00	304.00	2.30M	+1.31%
May 25, 2023	304.50	307.00	308.50	304.00	2.29M	-1.14%
May 24, 2023	308.00	307.00	308.00	304.50	2.09M	+0.33%
May 23, 2023	307.00	307.50	309.00	306.50	2.99M	+0.16%
May 22, 2023	306.50	307.50	308.00	303.50	1.59M	-0.49%
May 19, 2023	308.00	306.00	309.50	305.00	2.34M	0.00%
May 18, 2023	308.00	304.50	310.00	303.00	4.04M	+1.48%
May 17, 2023	303.50	302.50	305.00	302.00	3.22M	0.00%
May 16, 2023	303.50	303.00	305.50	299.00	3.50M	0.00%
May 15, 2023	303.50	304.50	309.00	297.50	9.18M	+7.82%
May 12, 2023	281.50	286.00	287.00	280.50	2.04M	-1.75%
May 11, 2023	286.50	291.50	291.50	286.50	1.19M	-1.72%
May 10, 2023	291.50	290.50	292.00	287.50	1.46M	-0.17%
May 09, 2023	292.00	289.50	293.00	289.00	1.89M	+1.21%
May 08, 2023	288.50	289.00	290.50	288.00	1.09M	-0.17%
May 05, 2023	289.00	291.50	291.50	286.00	1.79M	-1.03%
May 04, 2023	292.00	287.00	292.00	286.50	2.62M	+1.57%
May 03, 2023	287.50	287.00	288.00	285.50	1.68M	+0.52%
May 02, 2023	286.00	283.00	287.00	282.00	1.59M	+1.24%
Apr 28, 2023	282.50	282.00	282.50	279.00	1.84M	+0.89%
Apr 27, 2023	280.00	275.50	280.00	274.50	2.56M	+1.63%
Apr 26, 2023	275.50	275.50	277.00	272.00	2.54M	-0.90%
Apr 25, 2023	278.00	280.00	280.00	276.00	2.40M	-0.18%
Apr 24, 2023	278.50	278.00	279.00	276.00	2.07M	+0.91%
Apr 21, 2023	276.00	279.00	280.50	275.00	1.98M	-0.18%
Apr 20, 2023	276.50	279.50	279.50	275.50	1.09M	-0.72%
Apr 19, 2023	278.50	279.00	281.00	278.00	1.56M	0.00%
Apr 18, 2023	278.50	281.50	282.00	277.00	1.18M	-0.89%
Apr 17, 2023	281.00	278.50	281.00	278.00	1.62M	+1.26%
Apr 14, 2023	277.50	278.50	278.50	275.50	1.08M	+0.73%
Apr 13, 2023	275.50	279.50	280.00	275.50	1.73M	-1.08%
Apr 12, 2023	278.50	276.00	280.00	275.50	2.02M	+1.83%
Apr 11, 2023	273.50	271.00	274.50	270.50	1.37M	+0.92%
Apr 10, 2023	271.00	271.50	272.00	270.00	566.28K	+0.37%
Apr 07, 2023	270.00	271.50	272.00	270.00	594.15K	-0.18%
Apr 06, 2023	270.50	269.50	270.50	268.50	1.65M	-0.73%
Mar 31, 2023	272.50	273.50	275.00	271.00	1.96M	0.00%
Mar 30, 2023	272.50	271.50	273.00	270.50	1.22M	+0.37%
Mar 29, 2023	271.50	270.00	271.50	270.00	1.09M	+1.12%
Mar 28, 2023	268.50	269.00	271.00	267.50	1.09M	-0.37%
Mar 27, 2023	269.50	270.50	271.00	269.50	1.06M	-0.19%
Mar 24, 2023	270.00	270.00	271.00	268.00	1.31M	+0.19%
Mar 23, 2023	269.50	269.00	271.00	267.50	1.75M	+0.19%
Mar 22, 2023	269.00	268.50	269.00	267.00	2.26M	+0.19%
Mar 21, 2023	268.50	267.50	268.50	267.00	1.35M	+0.94%
Mar 20, 2023	266.00	270.00	270.00	265.00	1.81M	-1.85%
Mar 17, 2023	271.00	264.50	271.00	263.00	4.41M	+3.04%
Mar 16, 2023	263.00	260.50	264.50	260.50	2.03M	+0.57%
Mar 15, 2023	261.50	262.00	264.00	261.00	2.51M	+0.19%
Mar 14, 2023	261.00	264.00	264.00	260.50	5.18M	-1.88%
Mar 13, 2023	266.00	268.00	271.50	264.50	8.90M	-9.22%
Mar 10, 2023	293.00	285.00	293.00	285.00	4.20M	+2.63%
